Departamento,JRV,Partido,Num_Candidato,Nombre_Candidato,Votos
ATLANTIDA,35,DESCONOCIDO,3 escaños,JOSE ANTONIO GALDAMES FUENTES,8
ATLANTIDA,35,DESCONOCIDO,2 escaños,JOSE ANTONIO GALDAMES FUENTES,8
ATLANTIDA,35,DESCONOCIDO,3 escaños,JOSE ANTONIO GALDAMES FUENTES,8
ATLANTIDA,35,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,1,JOSE ANTONIO GALDAMES FUENTES,8
ATLANTIDA,35,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,2,BERTHA MARIA GARCIA VELIZ,5
ATLANTIDA,35,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,3,JORGE ALBERTO BUSTILLO ACOSTA,5
ATLANTIDA,35,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,4,KENNIA YAMILETH MONTERO MARTINEZ,15
ATLANTIDA,35,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,5,LUIS BERNARDO SARMIENTO NUÑEZ,6
ATLANTIDA,35,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,6,NIDIA WALESKA ESCOBAR PINEDA,6
ATLANTIDA,35,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,7,ENRIQUE NASSAR BENITEZ,2
ATLANTIDA,35,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS,8,INGRID ESTEFANIE SAMPSON RIVERA,6
ATLANTIDA,35,PARTIDO LIBERTAD Y REFUNDACION,9,ENRIQUE ALEJANDRO MATUTE DIAZ,73
ATLANTIDA,35,PARTIDO LIBERTAD Y REFUNDACION,10,OSCAR ARIEL MONTOYA RODEZNO,68
ATLANTIDA,35,PARTIDO LIBERTAD Y REFUNDACION,11,ANAEL MENDEZ RIVERA,71
ATLANTIDA,35,PARTIDO LIBERTAD Y REFUNDACION,12,ZULMY ARELY LOPEZ NUFIO,51
ATLANTIDA,35,PARTIDO LIBERTAD Y REFUNDACION,13,MARIO RENE CONTRERAS HERNANDEZ,51
ATLANTIDA,35,PARTIDO LIBERTAD Y REFUNDACION,14,MARLENE ISABEL SANCHEZ SOLIS,59
ATLANTIDA,35,PARTIDO LIBERTAD Y REFUNDACION,15,JOSELYN MARITZA ARDON GARCIA,54
ATLANTIDA,35,PARTIDO LIBERTAD Y REFUNDACION,16,CARLOS ALFREDO ENAMORADO CARCAMO,51
ATLANTIDA,35,PARTIDO INNOVACION Y UNIDAD SOCIAL DEMOCRATA,17,LORENA EDHIT VILLAFRANCA NUÑEZ,18
ATLANTIDA,35,PARTIDO INNOVACION Y UNIDAD SOCIAL DEMOCRATA,18,TOMAS ANTONIO RAMIREZ HERNANDEZ,28
ATLANTIDA,35,PARTIDO INNOVACION Y UNIDAD SOCIAL DEMOCRATA,19,ANA ISABEL JIMENEZ MAJANO,7
ATLANTIDA,35,PARTIDO INNOVACION Y UNIDAD SOCIAL DEMOCRATA,20,ALIRIO JOSE ARGUETA CRUZ,5
ATLANTIDA,35,PARTIDO INNOVACION Y UNIDAD SOCIAL DEMOCRATA,21,GRICELDA MURILLO MARTINEZ,7
ATLANTIDA,35,PARTIDO INNOVACION Y UNIDAD SOCIAL DEMOCRATA,22,JORGE ROBERTO ORELLANA GARCIA,3
ATLANTIDA,35,PARTIDO INNOVACION Y UNIDAD SOCIAL DEMOCRATA,23,INGRIS YELENI GARCIA PEÑA,4
ATLANTIDA,35,PARTIDO INNOVACION Y UNIDAD SOCIAL DEMOCRATA,24,MARIO RENE ORTEGA CASTILLO,5
ATLANTIDA,35,PARTIDO LIBERAL DE HONDURAS,25,JOSE DOMINGO HENRIQUEZ MACHADO,74
ATLANTIDA,35,PARTIDO LIBERAL DE HONDURAS,26,ALEJANDRO ANTONIO CANELAS CARDONA,64
ATLANTIDA,35,PARTIDO LIBERAL DE HONDURAS,27,ALFONZO ORDOÑEZ RODRIGUEZ,71
ATLANTIDA,35,PARTIDO LIBERAL DE HONDURAS,28,FANNY KARINA CABRERA GUARDADO,66
ATLANTIDA,35,PARTIDO LIBERAL DE HONDURAS,29,GLORIA JOSSELLY ARITA PORTILLO,61
ATLANTIDA,35,PARTIDO LIBERAL DE HONDURAS,30,ENAN ESAU OCHOA FERRUFINO,69
ATLANTIDA,35,PARTIDO LIBERAL DE HONDURAS,31,ANA GABRIELA MARTINEZ GARAY,54
ATLANTIDA,35,PARTIDO LIBERAL DE HONDURAS,32,KERISHA ZONALY SPICER CLARK,72
ATLANTIDA,35,PARTIDO NACIONAL DE HONDURAS,33,MARCO ANTONIO MIDENCE MILLA,68
ATLANTIDA,35,PARTIDO NACIONAL DE HONDURAS,34,IVETH OBDULIA MATUTE BETANCOURTH,45
