Fecha_Hora,Departamento,JRV,Nivel,Estado,Detalle
2026-02-07 08:44:02,ATLANTIDA,35,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:44:09,ATLANTIDA,35,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:44:13,ATLANTIDA,35,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:44:18,ATLANTIDA,38,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:44:24,ATLANTIDA,38,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:44:29,ATLANTIDA,38,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:44:33,ATLANTIDA,39,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:44:40,ATLANTIDA,39,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:44:44,ATLANTIDA,39,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:44:48,ATLANTIDA,40,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:44:55,ATLANTIDA,40,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:44:59,ATLANTIDA,40,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:45:03,ATLANTIDA,41,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:45:10,ATLANTIDA,41,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:45:14,ATLANTIDA,41,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:45:18,ATLANTIDA,148,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:45:25,ATLANTIDA,148,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:45:29,ATLANTIDA,148,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 08:45:33,ATLANTIDA,240,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:45:42,ATLANTIDA,240,DIPUTADOS,NO_DISPONIBLE,Botón ausente
2026-02-07 08:45:46,ATLANTIDA,240,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:45:50,ATLANTIDA,380,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:45:57,ATLANTIDA,380,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:46:01,ATLANTIDA,380,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:46:06,ATLANTIDA,391,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:46:13,ATLANTIDA,391,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:46:17,ATLANTIDA,391,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:46:21,ATLANTIDA,443,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:46:27,ATLANTIDA,443,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:46:31,ATLANTIDA,443,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:46:35,COLON,941,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:46:41,COLON,941,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:46:45,COLON,941,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:46:49,COLON,958,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:46:55,COLON,958,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:46:59,COLON,958,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:47:03,COLON,1183,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:47:08,COLON,1183,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:47:13,COLON,1183,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:47:17,COLON,1184,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:47:22,COLON,1184,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:47:27,COLON,1184,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:47:31,COLON,1419,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:47:36,COLON,1419,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:47:40,COLON,1419,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:47:44,COLON,1422,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:47:49,COLON,1422,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:47:53,COLON,1422,ALCALDE,EXITO,Guardado en no_computadas
2026-02-07 08:47:57,COLON,1520,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:48:02,COLON,1520,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:48:07,COLON,1520,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:48:11,COMAYAGUA,2407,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:48:17,COMAYAGUA,2407,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:48:21,COMAYAGUA,2407,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:48:25,COMAYAGUA,2500,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:48:31,COMAYAGUA,2500,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:48:35,COMAYAGUA,2500,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:48:39,COPAN,3046,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:48:46,COPAN,3046,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:48:50,COPAN,3046,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:48:54,COPAN,3459,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:49:00,COPAN,3459,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:49:04,COPAN,3459,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:49:09,CORTES,3736,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:49:13,CORTES,3736,DIPUTADOS,EXITO,Guardado en no_computadas
2026-02-07 08:49:17,CORTES,3736,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:49:21,CORTES,3747,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:49:31,CORTES,3747,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:49:35,CORTES,3747,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:49:39,CORTES,3752,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:49:49,CORTES,3752,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:49:53,CORTES,3752,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:49:57,CORTES,3753,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:50:07,CORTES,3753,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:50:11,CORTES,3753,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:50:15,CORTES,3754,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:50:25,CORTES,3754,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:50:29,CORTES,3754,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:50:33,CORTES,3764,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:50:43,CORTES,3764,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:50:47,CORTES,3764,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:50:51,CORTES,3850,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:51:00,CORTES,3850,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:51:04,CORTES,3850,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:51:08,CORTES,3914,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:51:18,CORTES,3914,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:51:22,CORTES,3914,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:51:26,CORTES,3917,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:51:36,CORTES,3917,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:51:40,CORTES,3917,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:51:44,CORTES,3919,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:51:54,CORTES,3919,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:51:58,CORTES,3919,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:52:03,CORTES,3978,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:52:12,CORTES,3978,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:52:16,CORTES,3978,ALCALDE,EXITO,Guardado en pdf
2026-02-07 08:52:21,CORTES,3980,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 08:52:30,CORTES,3980,DIPUTADOS,EXITO,Guardado en pdf
2026-02-07 08:52:34,CORTES,3980,ALCALDE,EXITO,Guardado en pdf
