Fecha_Hora,Departamento,JRV,Nivel,Estado,Detalle
2026-02-07 09:27:18,USA,19156,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:27:25,USA,19156,DIPUTADOS,OMITIDO,Timeout
2026-02-07 09:27:32,USA,19156,ALCALDE,OMITIDO,Timeout
2026-02-07 09:27:37,USA,19157,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:27:44,USA,19157,DIPUTADOS,OMITIDO,Timeout
2026-02-07 09:27:51,USA,19157,ALCALDE,OMITIDO,Timeout
2026-02-07 09:27:56,USA,19159,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:28:03,USA,19159,DIPUTADOS,OMITIDO,Timeout
2026-02-07 09:28:10,USA,19159,ALCALDE,OMITIDO,Timeout
2026-02-07 09:28:15,USA,19163,PRESIDENTE,EXITO,Guardado en pdf
2026-02-07 09:28:22,USA,19163,DIPUTADOS,OMITIDO,Timeout
2026-02-07 09:28:29,USA,19163,ALCALDE,OMITIDO,Timeout
