JRV,ORIGEN,CANDIDATO_RUBRO,VOTOS
35,ESCRUTINIO,DC,0
35,ESCRUTINIO,PINU,6
35,ESCRUTINIO,P. LIBERAL,101
35,ESCRUTINIO,LIBRE,54
35,ESCRUTINIO,P. NACIONAL,57
35,ESCRUTINIO,VOTOS BLANCOS,0
35,ESCRUTINIO,VOTOS NULOS,0
35,ESCRUTINIO,GRAN TOTAL,218
35,TREP,DC,0
35,TREP,PINU,6
35,TREP,P. LIBERAL,101
35,TREP,LIBRE,54
35,TREP,P. NACIONAL,57
35,TREP,VOTOS BLANCOS,0
35,TREP,VOTOS NULOS,0
35,TREP,GRAN TOTAL,218
38,ESCRUTINIO,DC,3
38,ESCRUTINIO,PINU,3
38,ESCRUTINIO,P. LIBERAL,97
38,ESCRUTINIO,LIBRE,32
38,ESCRUTINIO,P. NACIONAL,54
38,ESCRUTINIO,VOTOS BLANCOS,3
38,ESCRUTINIO,VOTOS NULOS,2
38,ESCRUTINIO,GRAN TOTAL,194
38,TREP,DC,3
38,TREP,PINU,3
38,TREP,P. LIBERAL,97
38,TREP,LIBRE,32
38,TREP,P. NACIONAL,54
38,TREP,VOTOS BLANCOS,3
38,TREP,VOTOS NULOS,2
38,TREP,GRAN TOTAL,194
39,ESCRUTINIO,DC,0
39,ESCRUTINIO,PINU,3
39,ESCRUTINIO,P. LIBERAL,116
39,ESCRUTINIO,LIBRE,33
39,ESCRUTINIO,P. NACIONAL,47
39,ESCRUTINIO,VOTOS BLANCOS,1
39,ESCRUTINIO,VOTOS NULOS,3
39,ESCRUTINIO,GRAN TOTAL,203
39,TREP,DC,0
39,TREP,PINU,3
39,TREP,P. LIBERAL,116
39,TREP,LIBRE,33
39,TREP,P. NACIONAL,47
39,TREP,VOTOS BLANCOS,1
39,TREP,VOTOS NULOS,3
39,TREP,GRAN TOTAL,203
40,ESCRUTINIO,DC,1
40,ESCRUTINIO,PINU,1
40,ESCRUTINIO,P. LIBERAL,97
40,ESCRUTINIO,LIBRE,24
40,ESCRUTINIO,P. NACIONAL,60
